uid,name
b0a249ba-a797-4708-82b7-f1c1898b1d27,Queen
37187d68-31f8-4134-9b82-e068d6fd9077,Radiohead
a07ed3c4-cb16-4816-87c4-dc40704b877c,Florence + The Machine
e884390d-1a31-46d4-8a42-855ed036e340,Disney
