uid,title,artist_uid
1e2d0f66-a7d2-4988-8685-4aa432671e21,A Night at the Opera,b0a249ba-a797-4708-82b7-f1c1898b1d27
fc49cb6f-99a1-4a12-8da0-8bd14b76fbf3,Creep (Single Version),37187d68-31f8-4134-9b82-e068d6fd9077
d8ac717d-fd47-49a3-8c1f-c08ca94bb92d,Lungs (10th Anniversary Edition),a07ed3c4-cb16-4816-87c4-dc40704b877c
4965700f-f326-4093-b7df-9c0a92fb13df,Frozen Soundtrack,e884390d-1a31-46d4-8a42-855ed036e340
